timestamp,temperature,vibration,pressure,voltage,current,fault
2026-08-13 06:39:44.383986,45.99,0.196,101.95,12.23,1.77,Normal
2026-08-13 06:39:45.383986,44.53,0.247,102.07,11.93,1.87,Normal
2026-08-13 06:39:46.383986,44.07,0.186,101.54,11.71,1.59,Normal
2026-08-13 06:39:47.383986,43.88,0.17,101.61,11.86,1.63,Normal
2026-08-13 06:39:48.383986,47.93,0.193,101.37,11.79,1.73,Normal
2026-08-13 06:39:49.383986,45.22,0.165,101.68,11.91,1.76,Normal
2026-08-13 06:39:50.383986,43.8,0.256,101.29,11.84,1.9,Normal
2026-08-13 06:39:51.383986,42.56,0.206,99.34,11.8,1.82,Normal
2026-08-13 06:39:52.383986,46.48,0.205,101.18,11.95,1.62,Normal
2026-08-13 06:39:53.383986,43.56,0.186,102.36,12.05,1.59,Normal
2026-08-13 06:39:54.383986,45.65,0.188,100.62,12.09,1.92,Normal
2026-08-13 06:39:55.383986,46.86,0.175,100.99,12.05,1.92,Normal
2026-08-13 06:39:56.383986,44.04,0.194,100.19,11.82,1.9,Normal
2026-08-13 06:39:57.383986,47.71,0.198,102.3,12.05,1.72,Normal
2026-08-13 06:39:58.383986,45.72,0.246,101.26,12.23,1.49,Normal
2026-08-13 06:39:59.383986,46.64,0.203,101.0,12.01,1.56,Normal
2026-08-13 06:40:00.383986,44.56,0.211,102.78,11.92,1.7,Normal
2026-08-13 06:40:01.383986,44.0,0.227,101.63,11.92,1.86,Normal
2026-08-13 06:40:02.383986,45.19,0.229,100.6,11.95,1.75,Normal
2026-08-13 06:40:03.383986,42.07,0.209,101.56,12.0,1.77,Normal
2026-08-13 06:40:04.383986,42.17,0.187,100.96,11.88,1.78,Normal
2026-08-13 06:40:05.383986,45.81,0.257,101.47,12.04,1.79,Normal
2026-08-13 06:40:06.383986,41.16,0.199,101.36,12.37,1.78,Normal
2026-08-13 06:40:07.383986,45.6,0.199,100.13,12.17,1.89,Normal
2026-08-13 06:40:08.383986,46.58,0.173,102.7,11.79,1.87,Normal
2026-08-13 06:40:09.383986,49.38,0.17,100.73,12.01,1.74,Normal
2026-08-13 06:40:10.383986,41.9,0.202,100.24,12.07,1.69,Normal
2026-08-13 06:40:11.383986,48.1,0.177,100.98,12.12,1.65,Normal
2026-08-13 06:40:12.383986,45.45,0.239,99.69,12.03,1.83,Normal
2026-08-13 06:40:13.383986,46.56,0.163,99.98,12.08,1.84,Normal
2026-08-13 06:40:14.383986,45.5,0.21,100.62,12.03,1.84,Normal
2026-08-13 06:40:15.383986,43.57,0.256,101.77,11.82,1.88,Normal
2026-08-13 06:40:16.383986,43.05,0.224,102.46,11.88,1.92,Normal
